DATE,Kabupaten,national,traffic,swe,e2e_delay,video_streaming_download_throughput
2025-05-11,KAB. BANGKALAN,Indonesia-XL,221783256128218.0,248884.0,167.16957557416745,4041.5170912710496
2025-05-11,KAB. BANGLI,Indonesia-SF,7288521190895.0,7098.0,245.9644066483753,2175.460253637357
2025-05-11,KAB. BANGLI,Indonesia-XL,62825708025640.0,64057.0,156.43336197664001,4421.362145349305
2025-05-11,KAB. BANJAR,Indonesia-SF,26292863177786.0,24087.0,163.55919566887505,1623.2740695445445
2025-05-11,KAB. BANJAR,Indonesia-XL,136279376359177.0,135876.0,190.06041233406071,4671.157031796781
2025-05-11,KAB. BANJARNEGARA,Indonesia-SF,60119086511405.0,67893.0,197.28608535732587,1312.8584767102898
2025-05-11,KAB. BANJARNEGARA,Indonesia-XL,72378348339436.0,70137.0,128.14444329257717,4959.488957051112
2025-05-11,KAB. BANTAENG,Indonesia-SF,10342043890377.0,10557.0,194.91926053739368,1386.8753280450544
2025-05-11,KAB. BANTAENG,Indonesia-XL,46115402238965.0,33347.0,253.4427300215481,2693.6570430559045
2025-05-11,KAB. BANTUL,Indonesia-SF,75188352259756.0,94390.0,123.74755683525778,2215.885483962283
2025-05-11,KAB. BANTUL,Indonesia-XL,110998489182213.0,144500.0,127.06835999648747,5030.614321738113
2025-05-11,KAB. BANYUASIN,Indonesia-SF,60977971214838.0,53717.0,162.76792684967597,1474.1995381523197
2025-05-11,KAB. BANYUASIN,Indonesia-XL,188239895284644.0,151846.0,152.28180255205612,3524.315619780148
2025-05-11,KAB. BANYUMAS,Indonesia-SF,97029092311662.0,113869.0,162.4739471327713,1572.623479296957
2025-05-11,KAB. BANYUMAS,Indonesia-XL,199935134037790.0,180582.0,132.99200857888422,4683.315091423358
2025-05-11,KAB. BANYUWANGI,Indonesia-SF,12540564740068.0,21117.0,111.17397879374121,3413.1681603278666
2025-05-11,KAB. BANYUWANGI,Indonesia-XL,94437175246818.0,176507.0,149.0224552021331,5638.149170514315
2025-05-11,KAB. BARITO KUALA,Indonesia-SF,19390791128068.0,16479.0,178.91274493119104,1585.358396322101
2025-05-11,KAB. BARITO KUALA,Indonesia-XL,63201384322601.0,59286.0,176.6172969182211,4404.447221234311
2025-05-11,KAB. BARITO SELATAN,Indonesia-XL,6817044886028.0,5737.0,277.40462240999636,3241.5962183659854
2025-05-11,KAB. BARITO TIMUR,Indonesia-XL,4892505234726.0,5814.0,446.32864279069145,3621.031345104873
2025-05-11,KAB. BARITO UTARA,Indonesia-XL,2962240080595.0,4223.0,469.7584690997617,3133.0796396314176
2025-05-11,KAB. BARRU,Indonesia-SF,18035616979817.0,14255.0,133.8266284419113,1890.7041581779238
2025-05-11,KAB. BARRU,Indonesia-XL,46530778443389.0,29606.0,213.53085441626905,3990.2032417801915
2025-05-11,KAB. BATANG,Indonesia-SF,23162055661078.0,29590.0,169.57246847163552,1491.6756173906494
2025-05-11,KAB. BATANG,Indonesia-XL,97257000279183.0,87809.0,121.39414764799595,4904.8089993122885
2025-05-11,KAB. BATANGHARI,Indonesia-SF,6371653524705.0,5431.0,141.05611672964704,1546.3147345711868
2025-05-11,KAB. BATANGHARI,Indonesia-XL,55314402910332.0,36621.0,134.32357414638517,3993.0993281463825
2025-05-11,KAB. BATU BARA,Indonesia-SF,11952844907350.0,11773.0,131.40627205351205,1803.6616355345516
2025-05-11,KAB. BATU BARA,Indonesia-XL,80353710398063.0,56631.0,119.94625673564175,3035.3244095049786
2025-05-11,KAB. BEKASI,Indonesia-SF,200501023245291.0,178407.0,116.63226506961882,2410.441338511752
2025-05-11,KAB. BEKASI,Indonesia-XL,469822573895790.0,441227.0,105.54114237925224,4937.123831248976
2025-05-11,KAB. BELITUNG,Indonesia-SF,95146593172.0,133.0,199.38633612216762,2717.0334471639967
2025-05-11,KAB. BELITUNG,Indonesia-XL,121266740757937.0,102506.0,116.68587780546463,4222.316591191573
2025-05-11,KAB. BELITUNG TIMUR,Indonesia-SF,24630963613.0,51.0,142.528999657666,3091.533314575702
2025-05-11,KAB. BELITUNG TIMUR,Indonesia-XL,71611239200276.0,55240.0,116.85388146363911,4183.379088020353
2025-05-11,KAB. BELU,Indonesia-XL,2884156252785.0,2362.0,214.27634288867293,4172.295409486418
2025-05-11,KAB. BENER MERIAH,Indonesia-SF,13907140267.0,32.0,321.24895404805676,2769.71314665489
2025-05-11,KAB. BENER MERIAH,Indonesia-XL,4207733431078.0,4334.0,145.5903110783816,3089.752234888059
2025-05-11,KAB. BENGKALIS,Indonesia-SF,7013492840172.0,6238.0,122.9106125280068,1836.275254237451
2025-05-11,KAB. BENGKALIS,Indonesia-XL,111245226553674.0,72714.0,162.07751895201415,3935.880802229978
2025-05-11,KAB. BENGKAYANG,Indonesia-XL,30803785475819.0,27993.0,414.90264312931384,3868.53254016987
2025-05-11,KAB. BENGKULU SELATAN,Indonesia-SF,17242140396.0,21.0,367.83151917690645,2655.3340682913745
2025-05-11,KAB. BENGKULU SELATAN,Indonesia-XL,5291586805863.0,5006.0,266.5106786156134,2974.3963200332305
2025-05-11,KAB. BENGKULU TENGAH,Indonesia-SF,3002298530.0,16.0,163.07768466916107,2046.4825435781777
2025-05-11,KAB. BENGKULU TENGAH,Indonesia-XL,14841345874255.0,13474.0,155.14724561213615,3764.1784215656858
2025-05-11,KAB. BENGKULU UTARA,Indonesia-SF,27394545053.0,67.0,181.8713854353089,2123.061312771466
2025-05-11,KAB. BENGKULU UTARA,Indonesia-XL,31418905728593.0,22276.0,159.84094861418066,3943.7643752524837
2025-05-11,KAB. BERAU,Indonesia-XL,8526450290063.0,7561.0,633.3110300416032,3604.540086285148
2025-05-11,KAB. BIMA,Indonesia-XL,55131498799680.0,38877.0,172.72782862429074,3953.6870532197486
2025-05-11,KAB. BINTAN,Indonesia-SF,607467891142.0,622.0,223.39016771357274,2871.157473029711
2025-05-11,KAB. BINTAN,Indonesia-XL,47514839027851.0,48193.0,530.3936345452711,4224.531035627911
2025-05-11,KAB. BIREUEN,Indonesia-SF,1352970569467.0,1164.0,111.10495724226888,3861.363823728272
2025-05-11,KAB. BIREUEN,Indonesia-XL,83471360325716.0,72244.0,120.99252154360232,3449.2097522818735
2025-05-11,KAB. BLITAR,Indonesia-SF,10872657057899.0,17384.0,118.43196643266882,2865.6332124170663
2025-05-11,KAB. BLITAR,Indonesia-XL,41335461500050.0,56283.0,165.93561033467668,5443.198076645546
2025-05-11,KAB. BLORA,Indonesia-SF,94902013193132.0,116903.0,174.59752241612517,1403.0823740512255
2025-05-11,KAB. BLORA,Indonesia-XL,57408476789326.0,60028.0,122.2007494542719,5955.052589510856
2025-05-11,KAB. BOALEMO,Indonesia-XL,1979689440578.0,2640.0,233.6499421090897,3778.8018456930026
2025-05-11,KAB. BOGOR,Indonesia-SF,279437860482868.0,301463.0,141.0009163070589,1978.098348599694
2025-05-11,KAB. BOGOR,Indonesia-XL,765313254310262.0,795939.0,131.56564608323083,4586.486062336793
2025-05-11,KAB. BOJONEGORO,Indonesia-SF,32749623498357.0,43143.0,132.67046329976677,1906.4195935889393
2025-05-11,KAB. BOJONEGORO,Indonesia-XL,68565889389094.0,77901.0,153.74734522946218,5107.350501190965
2025-05-11,KAB. BOLAANG MONGONDOW,Indonesia-SF,2463464777611.0,2687.0,143.2695779326775,1492.3317898762093
2025-05-11,KAB. BOLAANG MONGONDOW,Indonesia-XL,1892648207936.0,1882.0,229.06012282018773,4808.911381095105
2025-05-11,KAB. BOLAANG MONGONDOW SELATAN,Indonesia-SF,661010232487.0,1144.0,102.41016974648915,1825.009819288528
2025-05-11,KAB. BOLAANG MONGONDOW TIMUR,Indonesia-SF,332708801781.0,299.0,126.27678630363364,1199.04426369637
2025-05-11,KAB. BOLAANG MONGONDOW TIMUR,Indonesia-XL,479371068130.0,484.0,239.21893797084923,4395.96245749416
2025-05-11,KAB. BOLAANG MONGONDOW UTARA,Indonesia-XL,1471840146430.0,2222.0,432.71135909588634,3946.719246181344
2025-05-11,KAB. BOMBANA,Indonesia-XL,9406283875383.0,7255.0,273.67189115768,3470.1052096750777
2025-05-11,KAB. BONDOWOSO,Indonesia-SF,1862691643367.0,2903.0,131.47683185411302,2574.0002066383986
2025-05-11,KAB. BONDOWOSO,Indonesia-XL,30009498741939.0,63613.0,180.3448094011979,4491.130172425677
2025-05-11,KAB. BONE,Indonesia-SF,22970960585081.0,19221.0,214.92344228379278,1477.7802457135335
2025-05-11,KAB. BONE,Indonesia-XL,166128538468027.0,99628.0,254.96110969312832,3399.3708412160418
2025-05-11,KAB. BONE BOLANGO,Indonesia-XL,8235544709721.0,11807.0,205.3060615480017,5075.6323233907115
2025-05-11,KAB. BOYOLALI,Indonesia-SF,65720033095562.0,79336.0,200.21729430867697,1747.733967274247
2025-05-11,KAB. BOYOLALI,Indonesia-XL,84749497556385.0,88223.0,124.53867432234578,5250.818662555111
2025-05-11,KAB. BREBES,Indonesia-SF,101014365184583.0,106456.0,187.5945701029041,1562.8254429025724
2025-05-11,KAB. BREBES,Indonesia-XL,259867355850275.0,303738.0,125.07524634440057,4759.730924641535
